CustomerID,Recency,Frequency,Monetary,Cluster_Raw,Cluster,R_scaled,F_scaled,M_scaled
12346,530,11,372.86,3,Gold,0.6472833319553631,0.8769514395748774,-0.2231948321942339
12347,3,8,3309.37,1,Platinum,-1.2252659960740826,0.6473133678195304,0.9649259792627478
12348,249,2,118.19999999999999,0,Bronze,0.3587279863928917,-0.22963807175534695,-0.8459168480052165
12349,19,3,2685.44,2,Silver,-0.6087636294902878,0.0,0.8511532501012207
12350,311,1,274.0,0,Bronze,0.44359074044238017,-0.5532947556651122,-0.39050120730698973
12351,376,1,225.18,0,Bronze,0.5160807319685239,-0.5532947556651122,-0.4969722395746941
12352,37,9,1503.49,1,Platinum,-0.36289863726587396,0.7314158822675506,0.5353122174607569
12353,205,2,347.06,0,Bronze,0.28457448533777435,-0.22963807175534695,-0.2621498794284469
12354,233,1,668.5500000000001,3,Gold,0.33339284021892834,-0.5532947556651122,0.09425956733476903
12355,215,2,495.31,3,Gold,0.3027321242464316,-0.22963807175534695,-0.06884920670572842
12356,246,5,1429.74,3,Gold,0.35410353033640096,0.32365668390976515,0.5079305804486637
12357,34,2,4872.6900000000005,3,Gold,-0.3944003073798616,-0.22963807175534695,1.1756407123977113
12358,2,5,1247.22,2,Silver,-1.3354638962975345,0.32365668390976515,0.43358320108287696
12359,58,10,5565.28,1,Platinum,-0.19437333673537285,0.8074958608438627,1.2480281834019928
12360,53,6,2806.4900000000002,1,Platinum,-0.2282941103223884,0.44670524433488773,0.8751636875158482
12361,288,4,451.25,3,Gold,0.4142577708862354,0.17812112660243817,-0.11949465509738172
12362,4,10,4260.92,1,Platinum,-1.1397898640591078,0.8074958608438627,1.102569018557083
12363,110,2,194.28,0,Bronze,0.047714306158368955,-0.22963807175534695,-0.576998071598377
12364,8,3,682.38,2,Silver,-0.9146355619521664,0.0,0.10539764102426061
12365,292,1,307.94,0,Bronze,0.41952320716253433,-0.5532947556651122,-0.32710234239259434
12367,5,1,117.3,2,Silver,-1.0699507790131246,-0.5532947556651122,-0.8500456977662803
12368,629,1,318.3,0,Bronze,0.7127694785952846,-0.5532947556651122,-0.3091334359112352
12369,414,3,964.0500000000001,3,Gold,0.5528667281688463,0.0,0.2934156119718366
12370,52,7,2635.42,1,Platinum,-0.23545421519469298,0.5532947556651121,0.8409142031625504
12371,60,4,2984.25,3,Gold,-0.18160367235153863,0.17812112660243817,0.9086089407099
12372,72,3,598.8,3,Gold,-0.11281261657107146,0.0,0.03432896930363241
12373,312,3,880.85,3,Gold,0.44481651575268666,0.0,0.24429971382894963
12374,26,3,1522.18,2,Silver,-0.4938072276067984,0.0,0.5420381791036386
12375,11,2,315.1,2,Silver,-0.8044376617287146,-0.22963807175534695,-0.3146206833628452
12376,418,1,112.55,0,Bronze,0.5565411396297061,-0.5532947556651122,-0.8723708993448385
12377,316,4,2247.4,3,Gold,0.4496807647051427,0.17812112660243817,0.7541841551151909
12378,130,2,4294.97,3,Gold,0.11117383567517708,-0.22963807175534695,1.1069041354660167
12379,82,4,1325.22,3,Gold,-0.06363563841494821,0.17812112660243817,0.466604402875034
12380,22,8,4894.83,1,Platinum,-0.555227194461042,0.6473133678195304,1.1781098951780813
12381,5,5,1222.1200000000001,2,Silver,-1.0699507790131246,0.32365668390976515,0.4225168546308201
12383,185,5,915.78,3,Gold,0.2454533269966171,0.32365668390976515,0.26546184809722917
12384,29,2,368.72,2,Silver,-0.4534484124293297,-0.22963807175534695,-0.22926115106015774
12385,380,1,1337.3,3,Gold,0.5201235606051635,-0.5532947556651122,0.47154408532846115
12386,367,1,155.7,0,Bronze,0.506825274676598,-0.5532947556651122,-0.6969040043915096
12387,416,1,79.8,0,Bronze,0.5547083396853054,-0.5532947556651122,-1.0577398761619186
12388,16,8,2683.9100000000003,1,Platinum,-0.6710172298783336,0.6473133678195304,0.8508428969951043
12389,403,3,967.3299999999999,3,Gold,0.5425764902501999,0.0,0.2952640510633676
12390,80,1,313.3,0,Bronze,-0.07297889326143023,-0.5532947556651122,-0.31773172330352983
12391,22,5,1983.43,1,Platinum,-0.555227194461042,0.32365668390976515,0.6861486198985448
12392,592,1,55.35,0,Bronze,0.6895849465177739,-0.5532947556651122,-1.2540743378390085
12393,73,6,1796.1000000000001,3,Gold,-0.10760091090258887,0.44670524433488773,0.6321299950426611
12394,218,1,331.18,0,Bronze,0.3080157177742967,-0.5532947556651122,-0.2875897764962893
12395,20,15,2755.57,1,Platinum,-0.5900743396182883,1.1065895113302244,0.8651922718378265
12396,675,1,884.98,3,Gold,0.7397645736992869,-0.5532947556651122,0.24684512794402166
12397,36,2,1678.03,2,Silver,-0.37311402818699907,-0.22963807175534695,0.5951080905710039
12398,46,1,830.32,2,Silver,-0.281476029400742,-0.5532947556651122,0.21215401066396233
12399,120,7,998.4,3,Gold,0.08075671555037933,0.5532947556651121,0.3124692598991285
12400,415,1,184.85,0,Bronze,0.553788640665832,-0.5532947556651122,-0.6039615122344758
12401,304,1,32.85,0,Bronze,0.43489869423225624,-0.5532947556651122,-1.5317158360120977
12402,324,6,1124.15,3,Gold,0.45922778741137177,0.44670524433488773,0.37703424794705453
